Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Pathmeswaran C., Sen Gupta A., Perkins-Kirkpatrick S.E., Hart M.A.","57565786100;8874929700;57208982698;15044213100;","Exploring Potential Links Between Co-occurring Coastal Terrestrial and Marine Heatwaves in Australia",2022,"Frontiers in Climate","4",,"792730","","",,3,"10.3389/fclim.2022.792730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127732903&doi=10.3389%2ffclim.2022.792730&partnerID=40&md5=0ab39d5d28f7f0a2472c4d9bc81ac6e5","Despite numerous studies examining terrestrial or marine heatwaves independently, little work has investigated potential associations between these two types of extreme events. Examination of a limited number of past events suggests that certain co-occurring terrestrial and marine heatwaves have common drivers. Co-occurring events may also interact via local land-sea interactions, thereby altering the likelihood of these events. This study explores possible links between adjacent coastal marine and terrestrial heatwaves around Australia using observation and reanalysis data. We find a significant increase in the number of terrestrial heatwave days in the presence of an adjacent co-occurring marine heatwave along the coastal belt of Australia. In most regions, this increase persists at least 150 km inland. This suggests that processes operating beyond the narrow coastal belt are important in most regions. We also show that synoptic conditions driving a terrestrial heatwave in three locations around Australia are conducive for warming the ocean, which would increase the likelihood of a marine heatwave occurring. However, ocean state must also be conducive to reach MHW conditions. Our findings suggest that co-occurring terrestrial and marine heatwaves co-occur more frequently than chance would dictate, and that large scale synoptics may be conducive to both coastal terrestrial and marine heatwaves. Copyright © 2022 Pathmeswaran, Sen Gupta, Perkins-Kirkpatrick and Hart.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85127732903
"Pontes G.M., Taschetto A.S., Sen Gupta A., Santoso A., Wainer I., Haywood A.M., Chan W.-L., Abe-Ouchi A., Stepanek C., Lohmann G., Hunter S.J., Tindall J.C., Chandler M.A., Sohl L.E., Peltier W.R., Chandan D., Kamae Y., Nisancioglu K.H., Zhang Z., Contoux C., Tan N., Zhang Q., Otto-Bliesner B.L., Brady E.C., Feng R., von der Heydt A.S., Baatsen M.L.J., Oldeman A.M.","57191622364;23104422600;57242726600;36841957400;7103399784;7004500706;55199710600;6603196127;54279670400;7005978899;36655855100;12759949700;7102886537;8401913500;7102011703;55053409600;36701462300;7006798407;13410099900;55578889300;56706919700;35346106500;6701853567;26643043700;56044817200;8315173400;56403375500;57364675200;","Mid-Pliocene El Niño/Southern Oscillation suppressed by Pacific intertropical convergence zone shift",2022,"Nature Geoscience",,,,"","",,1,"10.1038/s41561-022-00999-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135803603&doi=10.1038%2fs41561-022-00999-y&partnerID=40&md5=daaa0d6f6fe7f2430fd3e62636589958","The El Niño/Southern Oscillation (ENSO), the dominant driver of year-to-year climate variability in the equatorial Pacific Ocean, impacts climate pattern across the globe. However, the response of the ENSO system to past and potential future temperature increases is not fully understood. Here we investigate ENSO variability in the warmer climate of the mid-Pliocene (~3.0–3.3 Ma), when surface temperatures were ~2–3 °C above modern values, in a large ensemble of climate models—the Pliocene Model Intercomparison Project. We show that the ensemble consistently suggests a weakening of ENSO variability, with a mean reduction of 25% (±16%). We further show that shifts in the equatorial Pacific mean state cannot fully explain these changes. Instead, ENSO was suppressed by a series of off-equatorial processes triggered by a northward displacement of the Pacific intertropical convergence zone: weakened convective feedback and intensified Southern Hemisphere circulation, which inhibit various processes that initiate ENSO. The connection between the climatological intertropical convergence zone position and ENSO we find in the past is expected to operate in our warming world with important ramifications for ENSO variability. © 2022, The Author(s), under exclusive licence to Springer Nature Limited.",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85135803603
"Sherwood S.C., Sen Gupta A., Schwartz S.E.","56014511300;57696369200;55207447000;","Probability of committed warming exceeding 1.5 °c and 2.0 °c Paris targets",2022,"Environmental Research Letters","17","6","064022","","",,1,"10.1088/1748-9326/ac6ff6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131428605&doi=10.1088%2f1748-9326%2fac6ff6&partnerID=40&md5=a074f9b0e2ae4d8d5bde6e306e2f51f0","The feasibility of achieving the Paris 1.5 °C target continues to be a complex and hotly debated question. To help resolve this question we calculate probability distributions of the committed warming that would ensue if all anthropogenic emissions were stopped immediately, or at successive future times. We use a simple Earth system model together with a Bayesian approach that incorporates multiple lines of evidence and accounts for known model biases. This analysis reveals a wide range of possible outcomes, including no further warming, but also a 15% chance of overshooting the 1.5 °C target, and 1%-2% chance for 2 °C, even if all emissions had stopped in 2020. If emissions merely stabilize in 2020 and stop in 2040, these probabilities increase to 90% and 17%. The uncertainty arises mainly from that of present forcing by aerosols. Rather than there being a fixed date by which emissions must stop, the probability of reaching either target - which is already below 100% - gradually diminishes with delays in eliminating emissions, by 3%-4% per year for 1.5 °C. © 2022 The Author(s). Published by IOP Publishing Ltd.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85131428605
"Sen Gupta A., Stellema A., Pontes G.M., Taschetto A.S., Vergés A., Rossi V.","8874929700;57212019691;57191622364;23104422600;16048486200;35273084700;","Future changes to the upper ocean Western Boundary Currents across two generations of climate models",2021,"Scientific Reports","11","1","9538","","",,20,"10.1038/s41598-021-88934-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105363848&doi=10.1038%2fs41598-021-88934-w&partnerID=40&md5=14ca44a39f61a8c212aa711d57714a2b","Western Boundary Currents (WBCs) are important for the oceanic transport of heat, dissolved gases and nutrients. They can affect regional climate and strongly influence the dispersion and distribution of marine species. Using state-of-the-art climate models from the latest and previous Climate Model Intercomparison Projects, we evaluate upper ocean circulation and examine future projections, focusing on subtropical and low-latitude WBCs. Despite their coarse resolution, climate models successfully reproduce most large-scale circulation features with ensemble mean transports typically within the range of observational uncertainty, although there is often a large spread across the models and some currents are systematically too strong or weak. Despite considerable differences in model structure, resolution and parameterisations, many currents show highly consistent projected changes across the models. For example, the East Australian Current, Brazil Current and Agulhas Current extensions are projected to intensify, while the Gulf Stream, Indonesian Throughflow and Agulhas Current are projected to weaken. Intermodel differences in most future circulation changes can be explained in part by projected changes in the large-scale surface winds. In moving to the latest model generation, despite structural model advancements, we find little systematic improvement in the simulation of ocean transports nor major differences in the projected changes. © 2021, The Author(s).",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85105363848
"Goyal R., England M.H., Jucker M., Sen Gupta A.","57210788084;7101869647;14058428800;8874929700;","Response of Southern Hemisphere Western Boundary Current Regions to Future Zonally Symmetric and Asymmetric Atmospheric Changes",2021,"Journal of Geophysical Research: Oceans","126","11","e2021JC017858","","",,4,"10.1029/2021JC017858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119847323&doi=10.1029%2f2021JC017858&partnerID=40&md5=5858ac8ffb76aeefe90a6a2927c7e92e","Subtropical western boundary currents (WBCs) are often associated with hotspots of global warming, with certain WBC extension regions warming 3–4 times faster than the global mean. In the Southern Hemisphere, strong warming over the WBC extensions has been observed over the last few decades, with enhanced warming projected into the future. This amplified warming has primarily been linked to poleward intensification of the mid-latitude westerly winds in the Southern Hemisphere. Changes in these winds are often thought of as being zonally symmetric; however, recent studies show that they contain strong zonal asymmetries in certain ocean basins. The importance of these zonal asymmetries for the Southern Ocean has not yet been investigated. In this study, we use an ocean-sea-ice model forced by prescribed atmospheric fields to quantify the contribution of projected zonally asymmetric atmospheric changes in generating future ocean warming and circulation changes in the subtropical WBC regions. We find that the zonally asymmetric component of atmospheric forcing, characterized by a pattern that is consistent across CMIP6 models, can explain more than 30% (>2°C) of the sea surface temperature (SST) warming found in the Tasman Sea and southern Australia region and a sizable fraction of warming in the Agulhas Current region. These changes in SST in both the Indian and Pacific basins are found to be primarily driven by increases in the advection of warm tropical water to the mid-latitudes due to changes in the large-scale subtropical ocean gyres, which in turn can largely be explained by changes in the mid-latitude surface wind stress patterns. © 2021. American Geophysical Union. All Rights Reserved.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85119847323
"Sérazin G., Di Luca A., Sen Gupta A., Rogé M., Jourdain N.C., Argüeso D., Bull C.Y.S.","56313832800;37101378500;8874929700;57190971503;35208465800;54382826700;57199395941;","East Australian Cyclones and Air-Sea Feedbacks",2021,"Journal of Geophysical Research: Atmospheres","126","20","e2020JD034391","","",,,"10.1029/2020JD034391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118102143&doi=10.1029%2f2020JD034391&partnerID=40&md5=ea1b89789e62efaf9f7e510795b40b7c","The importance of resolving mesoscale air-sea interactions to represent cyclones impacting the East Coast of Australia, the so-called East Coast Lows (ECLs), is investigated using the Australian Regional Coupled Model based on NEMO-OASIS-WRF (NOW) at (Formula presented.) resolution. The fully coupled model is shown to be capable of reproducing correctly relevant features such as the seasonality, spatial distribution and intensity of ECLs while it partially resolves mesoscale processes, such as air-sea feedbacks over ocean eddies and fronts. The mesoscale thermal feedback (TFB) and the current feedback (CFB) are shown to influence the intensity of northern ECLs (north of (Formula presented.)), with the TFB modulating the pre-storm sea surface temperature (SST) by shifting ECL locations eastwards and the CFB modulating the wind stress. By fully uncoupling the atmospheric model of NOW, the intensity of northern ECLs is increased due to the absence of the cold wake that provides a negative feedback to the cyclone. The number of ECLs might also be affected by the air-sea feedbacks but large interannual variability hampers significant results with short-term simulations. The TFB and CFB modify the climatology of SST (mean and variability) but no direct link is found between these changes and those noticed in ECL properties. These results show that the representation of ECLs, mainly north of (Formula presented.), depend on how air-sea feedbacks are simulated. This is particularly important for atmospheric downscaling of climate projections as small-scale SST interactions and the effects of ocean currents are not accounted for. © 2021. American Geophysical Union. All Rights Reserved.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85118102143
"Goyal R., Jucker M., Sen Gupta A., Hendon H.H., England M.H.","57210788084;14058428800;8874929700;7003545639;7101869647;","Zonal wave 3 pattern in the Southern Hemisphere generated by tropical convection",2021,"Nature Geoscience","14","10",,"732","738",,9,"10.1038/s41561-021-00811-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113816465&doi=10.1038%2fs41561-021-00811-3&partnerID=40&md5=d31400cae9ca469ae98286ad4aa6a148","A distinctive feature of the Southern Hemisphere extratropical atmospheric circulation is the quasi-stationary zonal wave 3 pattern. This pattern is present in both the mean atmospheric circulation and its variability on daily, seasonal and interannual timescales. While the zonal wave 3 pattern has substantial impacts on meridional heat transport and Antarctic sea ice extent, the reason for its existence remains uncertain, although it has long been assumed to be linked to the presence of three major landmasses in the Southern Hemisphere extratropics. Here we use an atmospheric general circulation model to show that the stationary zonal wave 3 pattern is instead driven by zonally asymmetric deep convection in the tropics, with little influence from extratropical orography or landmasses. Localized regions of deep convection in the tropics form a local Hadley cell, which in turn creates a wave source in the subtropics that excites a poleward- and eastward-propagating wave train, forming quasi-stationary waves in the Southern Hemisphere high latitudes. Our findings suggest that changes in tropical deep convection, either due to natural variability or climate change, fundamentally control the zonal wave 3 pattern, with implications for southern high-latitude climate, ocean circulation and sea ice. © 2021, The Author(s), under exclusive licence to Springer Nature Limited.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85113816465
"Bell J.D., Senina I., Adams T., Aumont O., Calmettes B., Clark S., Dessert M., Gehlen M., Gorgues T., Hampton J., Hanich Q., Harden-Davies H., Hare S.R., Holmes G., Lehodey P., Lengaigne M., Mansfield W., Menkes C., Nicol S., Ota Y., Pasisi C., Pilling G., Reid C., Ronneberg E., Gupta A.S., Seto K.L., Smith N., Taei S., Tsamenyi M., Williams P.","7404446972;6603182993;55728459700;55903834200;26633459200;57226483235;57192430776;15063930600;16425269300;16219301600;25229627100;57189231578;7004221490;57548951200;57203884463;6602271599;57226464652;7102890924;7103154746;36183559300;57226458532;55897649300;57195603016;16507898100;8874929700;56291941300;7403173064;55924189500;6603173622;55373168300;","Pathways to sustaining tuna-dependent Pacific Island economies during climate change",2021,"Nature Sustainability","4","10",,"900","910",,26,"10.1038/s41893-021-00745-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111623874&doi=10.1038%2fs41893-021-00745-z&partnerID=40&md5=8aa0012fd681afe99ce56602e42215f2","Climate-driven redistribution of tuna threatens to disrupt the economies of Pacific Small Island Developing States (SIDS) and sustainable management of the world’s largest tuna fishery. Here we show that by 2050, under a high greenhouse gas emissions scenario (RCP 8.5), the total biomass of three tuna species in the waters of ten Pacific SIDS could decline by an average of 13% (range = −5% to −20%) due to a greater proportion of fish occurring in the high seas. The potential implications for Pacific Island economies in 2050 include an average decline in purse-seine catch of 20% (range = −10% to −30%), an average annual loss in regional tuna-fishing access fees of US$90 million (range = −US$40 million to –US$140 million) and reductions in government revenue of up to 13% (range = −8% to −17%) for individual Pacific SIDS. Redistribution of tuna under a lower-emissions scenario (RCP 4.5) is projected to reduce the purse-seine catch from the waters of Pacific SIDS by an average of only 3% (range = −12% to +9%), indicating that even greater reductions in greenhouse gas emissions, in line with the Paris Agreement, would provide a pathway to sustainability for tuna-dependent Pacific Island economies. An additional pathway involves Pacific SIDS negotiating within the regional fisheries management organization to maintain the present-day benefits they receive from tuna, regardless of the effects of climate change on the distribution of the fish. © 2021, The Author(s), under exclusive licence to Springer Nature Limited.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85111623874
"Dutta D., Sherwood S.C., Meissner K.J., Gupta A.S.E.N., Lunt D.J., Tourte G.J.L., Colman R., Narsey S., Fuchs D., Brown J.R.","57214155314;56014511300;7102349981;8874929700;8068419200;55484492000;57212781009;55975845400;56471281900;36717393600;","A multimodel investigation of atmospheric mechanisms for driving arctic amplification in warmer climates",2021,"Journal of Climate","34","14",,"5723","5740",,2,"10.1175/JCLI-D-20-0354.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108287025&doi=10.1175%2fJCLI-D-20-0354.1&partnerID=40&md5=bb34b6471dfd58ad7feef4b64cb6476e","When simulating past warm climates, such as the early Cretaceous and Paleogene periods, general circulation models (GCMs) underestimate the magnitude of warming in the Arctic. Additionally, model intercomparisons show a large spread in the magnitude of Arctic warming for these warmer-than-modern climates. Several mechanisms have been proposed to explain these disagreements, including the unrealistic representation of polar clouds or underestimated poleward heat transport in the models. This study provides an intercomparison of Arctic cloud and atmospheric heat transport (AHT) responses to strong imposed polar-amplified surface ocean warming across four atmosphere-only GCMs. All models simulate an increase in high clouds throughout the year; the resulting reduction in longwave radiation loss to space acts to support the imposed Arctic warming. The response of low- and midlevel clouds varies considerably across the models, with models responding differently to surface warming and sea ice removal. The AHT is consistently weaker in the imposed warming experiments due to a large reduction in dry static energy transport that offsets a smaller increase in latent heat transport, thereby opposing the imposed surface warming. Our idealized polar amplification experiments require very large increases in implied ocean heat transport (OHT) to maintain steady state. Increased CO2 or tropical temperatures that likely characterized past warm climates reduce the need for such large OHT increases. 2021 American Meteorological Society",Review,"Final","",Scopus,2-s2.0-85108287025
"Misra R., Sérazin G., Meissner K.J., Sen Gupta A.","57222980257;56313832800;7102349981;8874929700;","Projected Changes to Australian Marine Heatwaves",2021,"Geophysical Research Letters","48","7","e2020GL091323","","",,8,"10.1029/2020GL091323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104328220&doi=10.1029%2f2020GL091323&partnerID=40&md5=dbc7d8114e81fc1a0eebbdaa0c8a01cd","Marine heatwaves are extreme oceanic events that can have severe impacts on ecosystems and economies. Recent studies have suggested future increases in the severity and duration of these events. However, these findings are based on coarse resolution climate models that cannot resolve important ocean structures. This study uses a 0.25° coupled regional model to quantify how marine heatwaves around Australia respond under a high emissions scenario. We find that increases to future marine heatwave statistics are primarily caused by changes in the mean temperature, with changes in variability important in some areas. Temperature variance changes are most prominent close to Tasmania, with a covariance temperature budget demonstrating that this is linked to large simulated increases in East Australian Current transport and variability. Close to New Zealand, changes in surface heat fluxes also play an important role. These results quantify the response of marine heatwave characteristics to future temperature changes. © 2021. American Geophysical Union. All Rights Reserved.",Article,"Final","",Scopus,2-s2.0-85104328220
"Eabry M.D., Taschetto A.S., Maharaj A.M., Sen Gupta A.","57704093600;23104422600;8697574300;8874929700;","What Determines the Lagged ENSO Response in the South-West Indian Ocean?",2021,"Geophysical Research Letters","48","6","e2020GL091958","","",,5,"10.1029/2020GL091958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103225187&doi=10.1029%2f2020GL091958&partnerID=40&md5=c70e02ba4af2684971f57d8e46b772ad","Oceanic Rossby waves can propagate climate signals over considerable distances over long timescales. Using a long simulation from a coupled climate model, we examine oceanic and mixed atmosphere-ocean teleconnections to the south-western Indian Ocean (SWIO) associated with Rossby waves excited by the El Niño-Southern Oscillation (ENSO). Reconstruction of propagating ENSO-induced sea-level anomalies from the simulation using an optimized linear wave model with dissipation highlights the prominent role of baroclinic, rather than barotropic, Rossby waves in modulating sea-surface heights. Between 9.5° and 18.5°S, El Niño-associated anomalous anticyclonic wind-stress fields initiate downwelling Rossby waves, potentially influencing SWIO regional climate around 1–4 seasons after El Niño peak, while also destructively interfering with upwelling waves triggered on the eastern boundary by oceanic teleconnections. Further south, weaker ENSO winds, dissipation, non-linear processes, and interference from higher-mode Rossby waves limit ENSO influences in the SWIO. In the model, ENSO-associated predictability is therefore constrained by the “atmospheric” rather than “oceanic” bridge. © 2021. American Geophysical Union. All Rights Reserved.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85103225187
"Goyal R., Jucker M., Sen Gupta A., England M.H.","57210788084;14058428800;8874929700;7101869647;","Generation of the Amundsen Sea Low by Antarctic Orography",2021,"Geophysical Research Letters","48","4","e2020GL091487","","",,10,"10.1029/2020GL091487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101785801&doi=10.1029%2f2020GL091487&partnerID=40&md5=b937eb4b5112a4b393493e7691799d91","The Amundsen Sea Low (ASL) is a distinctive feature of the Southern Hemisphere high latitude atmospheric circulation, regulating regional Antarctic climate, meridional heat transport, ocean circulation, and sea-ice in the Amundsen-Bellingshausen Seas. Most previous research on the ASL has focused on its variability with only a few studies attempting to understand why the climatological ASL exists. These studies have proposed different hypotheses to explain the presence of the ASL, however, a clear understanding of the mechanisms responsible for the generation of the ASL remains uncertain. Here we use an atmospheric general circulation model to show that the ASL is a consequence of the interaction between Antarctic topography and the westerly wind jet, with negligible influence from low-latitude teleconnections. A nonrotating fluid flow simulation further suggests that the ASL can be explained by flow separation resulting from the interaction of westerly winds with the topography of Antarctica. © 2021. American Geophysical Union. All Rights Reserved.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85101785801
"Goyal R., Sen Gupta A., Jucker M., England M.H.","57210788084;8874929700;14058428800;7101869647;","Historical and Projected Changes in the Southern Hemisphere Surface Westerlies",2021,"Geophysical Research Letters","48","4","e2020GL090849","","",,42,"10.1029/2020GL090849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101318054&doi=10.1029%2f2020GL090849&partnerID=40&md5=65e77398bad1df9225f73e035c1c0b7a","The Southern Hemisphere (SH) surface westerlies fundamentally control regional patterns of air temperature, storm tracks, and precipitation while also regulating ocean circulation, heat transport and carbon uptake. Wind-forced ocean perturbation experiments commonly apply idealized poleward wind shifts ranging between 0.5 and 10 degrees of latitude and wind intensification factors of between 10% and 300%. In addition, changes in winds are often prescribed ad hoc as a zonally uniform anomaly that neglects important regional and seasonal differences. Here we quantify historical and projected SH westerly wind changes based on examination of CMIP5, CMIP6, and reanalysis data. We find a significant reduction in the location bias of the CMIP6 ensemble and an associated reduction in the projected poleward shift compared to CMIP5. Under a high emission scenario, we find a projected end of 21st Century ensemble mean wind increase of ∼10% and a poleward shift of ∼0.8° latitude, although there are important seasonal and regional variations. © 2021. American Geophysical Union. All Rights Reserved.",Letter,"Final","All Open Access, Green",Scopus,2-s2.0-85101318054
"Oliver E.C.J., Benthuysen J.A., Darmaraki S., Donat M.G., Hobday A.J., Holbrook N.J., Schlegel R.W., Sen Gupta A.","35389429300;57212011015;57204701705;17434022100;6701910294;7103158914;57192203568;8874929700;","Marine Heatwaves",2021,"Annual Review of Marine Science","13",,,"313","342",,144,"10.1146/annurev-marine-032720-095144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099368674&doi=10.1146%2fannurev-marine-032720-095144&partnerID=40&md5=f3ddef63acc9a9be036a2e74b9e15400","Ocean temperature variability is a fundamental component of the Earth's climate system, and extremes in this variability affect the health of marine ecosystems around the world. The study of marine heatwaves has emerged as a rapidly growing field of research, given notable extreme warm-water events that have occurred against a background trend of global ocean warming. This review summarizes the latest physical and statistical understanding of marine heatwaves based on how they are identified, defined, characterized, and monitored through remotely sensed and in situ data sets. We describe the physical mechanisms that cause marine heatwaves, along with their global distribution, variability, and trends. Finally, we discuss current issues in this developing research area, including considerations related to thechoice of climatological baseline periods in defining extremes and how to communicate findings in the context of societal needs. © 2021 Annual Reviews Inc.. All rights reserved.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85099368674
